0:02.6 - 0:03.6	Interviewer: Goedemorgen.	
0:05.0 - 0:05.5	T3NL: Goedemiddag.	
0:05.8 - 0:07.3	Interviewer: Goedemiddag, yeah.	
0:07.9 - 0:08.5	yeah.	
0:09.7 - 0:18.0	Interviewer: I wanted to, to ask you to give me your general views on a translating this text.	
0:20.0 - 0:26.7	T3NL: What it, what was the experience was like for me and only a translation of are also the revision of the of.	
0:27.4 - 0:28.5	Interviewer: The whole process.	
0:28.9 - 0:46.5	T3NL: Okay um well, it is sometimes it felt a bit unnatural because you're working with segments more than we would normally work with normally I the entirety of course I did have the entire text, but because it was already sort of divided into segments that.	
0:48.5 - 1:08.5	T3NL: I had to adjust to that, but um I thought it was really fun text to work with it was it sort of a timeless theme so even though it's an older text you weren't restricted by the time it was written in so that was really nice.	
1:10.5 - 1:25.3	T3NL: And I thought you got to be really creative as a as a translator because it refers to non existing things that need to have a certain rhetoric, I think, and.	
1:27.4 - 1:28.1	T3NL: This this.	
1:29.3 - 1:37.6	T3NL: You have to sort of the the the story is quite believable and you have to make sure in translating that that that that your readers will also.	
1:38.8 - 1:40.4	T3NL: believe what you're saying.	
1:41.9 - 1:45.1	T3NL: So it posed a few.	
1:48.9 - 1:57.7	T3NL: How do you say that a few problems, but it was really fun to try and work them out the one I have most trouble with was actually a title.	
1:59.7 - 2:14.8	T3NL: But then I was, I was looking into all this because, because we, in this day and age we have text language or SMS language so we we all we already.	
2:16.0 - 2:33.9	T3NL: abbreviate words or sentences now in our own ways by didn't find any of those fitting and then, I came across a Dutch play from the 40s or 50s which was called to be you're not to be, and I mean everyday read and knows this phrase so.	
2:35.0 - 2:41.0	T3NL: I thought I could work with that one and then work around the pronunciation.	
2:42.2 - 2:42.5	T3NL: So.	
2:47.3 - 3:07.6	T3NL: What else I thought well the translating part was, I think, easier in a way than the revision part because it's so easy to be fooled by a translation, that is already there, and I mean, even when i'm translating I can I can be fooled by the source text.	
3:07.9 - 3:11.8	Interviewer: Oh, when you say revision you mean you mean the post editing of.	
3:12.1 - 3:13.4	Interviewer: The Text okay.	
3:13.9 - 3:17.8	T3NL: Oh sorry yeah so the second part yeah because.	
3:19.6 - 3:36.3	T3NL: Sometimes you, you only realize On your third or fourth reading that it isn't normal or natural Dutch, where it feels like it is your first reading and I don't think you would normally post edit a translated text that often so.	
3:38.0 - 3:52.6	T3NL: Like I did for my own translations, but I mean normally my editor will look at the text ones, and then send it back to me, so I think there was more editing in there than you would normally do for a translation and.	
3:54.0 - 4:08.4	T3NL: i've been going over the translation again and again in the weekend, just in my head I didn't look at it anymore and i'm thinking that I, if I have a chance, I would still change things in the in the post editing more than I would in the translation, though.	
4:09.2 - 4:14.3	Interviewer: And you mentioned a... the difficulties.	
4:15.8 - 4:17.3	Interviewer: And you mentioned the title.	
4:18.3 - 4:26.2	Interviewer: yeah to be or not to be in numbers a do you recall any other difficulties that you had in the text.	
4:27.3 - 4:28.0	Interviewer: or more.	
4:28.1 - 4:30.3	Interviewer: Or, more problems let's call them.	
4:31.7 - 4:32.4	T3NL: The.	
4:33.6 - 4:36.7	T3NL: The nicknames for the Federal bureau of.	
4:38.2 - 4:40.3	T3NL: termination because.	
4:41.5 - 4:43.8	T3NL: Vonnegut has this way of sort of.	
4:45.4 - 4:55.0	T3NL: The I imagine a lot of them sort of refer to something else as well, and they might have had some sort of sexual references in them as well.	
4:55.2 - 5:08.3	T3NL: So I actually I consulted a an American friend of mine who I often consultant on such problems to see if he had any ideas with two of the titles, I think one of them, the Lucky Pierre.	
5:08.7 - 5:17.8	T3NL: yeah and and the bird Birdland, I think, and he came up with a few things that I already found myself but we discuss it for a while and then I came up with.	
5:18.8 - 5:23.2	T3NL: So, because I felt Lucky Pierre at sort of a sexual innuendo in it and.	
5:25.4 - 5:43.7	T3NL: I came up with a completely new and non existing word in Dutch, which every Dutch reader will understand the reference that is meant by that, even though it has nothing to do with termination or or death or anything and.	
5:44.8 - 5:46.3	T3NL: With Birdland.	
5:48.9 - 6:00.0	T3NL: I think I I I gave myself a bit of freedom there, I cannot reacall now what I did but anyways I I found it, I was trying to find the.	
6:01.0 - 6:15.2	T3NL: innuendos or the the ambiguity for these nicknames actually and to try and and come up with nicknames that have the same ambiguity or the same innuendo the same connotation in them and then.	
6:16.6 - 6:17.8	T3NL: What I also.	
6:22.2 - 6:29.2	T3NL: Your difficulties, I mean there were loads probably well The thing is, once I hand something in I tend to forget um.	
6:34.5 - 6:39.7	T3NL: The thing is, what what what struck me about the source text is that it's all sort of so.	
6:44.0 - 7:01.0	T3NL: Nobody, no one wonders about that situation it's just this is the way it is this is the way the world is now so you need to put that sort of assurance in the translation as well, so, even though the father to be as is.	
7:02.9 - 7:19.2	T3NL: A second thoughts about this and the painter as well, they they do, on the other hand, accept that this is the situation and we need to deal with that we need to find a way to make it work in this situation, and so the, the matter of fact, most of it sort of I tried to.	
7:20.4 - 7:22.6	T3NL: I tried not to embellish that not to make it.	
7:25.7 - 7:32.9	T3NL: Because the language that is used is quite dry, I think he doesn't use a lot of.	
7:35.7 - 7:37.3	T3NL: Descriptions or.	
7:39.0 - 7:39.5	T3NL: or.	
7:42.1 - 7:46.3	T3NL: Is this the word choice, I think, is.	
7:48.0 - 7:50.1	T3NL: Is our everyday words he doesn't.	
7:51.9 - 8:03.4	T3NL: It doesn't fit the language to them story, it is, it is its ordinary language in a in a non ordinary situation I think so, and.	
8:04.4 - 8:25.5	T3NL: Only I think the the lady Leora Duncan she had a way of talking, there was a bit stiff and a bit old fashioned she was the only one, I think, but that was just the with the G and gosh and things like that, so I use a bit of old fashioned a bit archaic exclamations for that and.	
8:27.6 - 8:31.9	T3NL: What I had a problem with is that there was so many reporting clauses.	
8:32.4 - 8:49.3	T3NL: But then, you had so many speakers at some point as well, so I wasn't quite sure where I could leave them out because some point I started to trip over them in in Dutch so but I only took like two I think when it was clear, the word, yes, two speakers going on.	
8:51.8 - 8:54.2	T3NL: Other things the all these these.	
