0:02.2 - 0:03.9	Interviewer: Okay so we are recording	
0:05.0 - 0:06.0	Interviewer: Good morning.	
0:08.2 - 0:10.9	Interviewer: So I wanted to ask you to give	
0:11.0 - 0:16.0	Interviewer: Me your general views on translating this text.	
0:17.5 - 0:18.0	T1CA: Well,	
0:19.4 - 0:30.7	T1CA: The text is pretty easy. But there are some puns with the names and that's probably the most difficult part deciding what to do with the names, which I think is something	
0:31.1 - 0:48.1	T1CA: You would usually decide with the editor with the publisher and also there are some yeah these names for the example the Catbox and all the names that are given to the gas chambers those things were a little bit difficult to find	
0:49.1 - 0:53.2	T1CA: Something because they have to be short. You cannot add any notes.	
0:54.4 - 1:02.0	T1CA: But that was the most difficult part I think for the rest, I didn't think it was very difficult. Some words were	
1:03.2 - 1:24.6	T1CA: the structure, the syntactical structure was very easy know sometimes kind of repetitive, no? The painter make that and the painter make that. So it was just a matter of imitating this style. And yeah, what do you want me to talk about the software, the interface experience.	
1:25.1 - 1:26.8	Interviewer: If you want to, yeah.	
1:27.0 - 1:31.8	T1CA: Yeah, yeah. Because that's I usually translate with MemoQ. so with	
1:33.7 - 1:40.9	T1CA: Computer Aided translation and I'm very used to having this sub...	
1:42.5 - 1:49.2	T1CA: Both texts on screen but... the software you sent me	
1:49.4 - 1:51.5	Interviewer: Oh, you mean you mean PET.	
1:51.9 - 1:55.8	Interviewer: The translating software not the MT proposals.	
1:55.8 - 2:07.9	T1CA: Yeah yeah what yeah well well yeah both of them i mean the the the act of translating bilingually because usually literary translators don't translate with any tech tools.	
2:10.1 - 2:19.8	T1CA: But the problem is that it's very basic, so you cannot or I don't know how to do a search and replace, which is something I use very often. So, and then the	
2:20.4 - 2:27.7	T1CA: That's the one of the main points that it's very basic. So we have to be tricking oh yeah I had to push this button or to go to go ahead	
2:28.0 - 2:33.7	T1CA: And then the problem to export the text because I always saw that final revision is always made on the	
2:34.3 - 2:44.2	T1CA: Final text without taking any notice of the of the source text and I usually read it a couple if if the short text I read it many times. So	
2:45.0 - 3:02.5	T1CA: I would probably have read it two or three more times if I had the option to export easily. So I'm not sure about. Yeah. So if the result of the translation is the exact result, I would have when... If I work with my own tools, you know	
3:02.7 - 3:03.4	Interviewer: Mm hmm.	
3:05.6 - 3:06.6	T1CA: What else, I don't know.	
3:07.6 - 3:08.0	T1CA: Oh,	
3:08.2 - 3:11.0	Interviewer: I wanted to ask you, and	
3:13.0 - 3:14.1	Interviewer: You mentioned	
3:14.5 - 3:22.3	Interviewer: The main difficulties but could you tell us specifically which passages, you found more difficult.	
3:23.6 - 3:29.1	T1CA: Um, yeah, the one with the many names that with the cat box and the	
3:29.2 - 3:32.4	Interviewer: the nick names..	
3:32.6 - 3:35.7	T1CA: yeah... and the Lucky Pierre because those are	
3:36.9 - 3:46.9	T1CA: Some references are very cultural related. So it's difficult to really find an equivalent without making it too long or	
3:47.8 - 3:54.3	T1CA: Having a direct, direct thing that it's a straightforward. So this part, I think I spent a lot of time.	
3:55.0 - 4:05.2	T1CA: Looking for names that would, that could work because they are used afterwards. So yeah, those then deciding the names, what to do with the names of the of the	
4:05.7 - 4:12.1	T1CA: Of the characters. So basically, with Whealing. That sounds like... I talked with the...	
4:12.8 - 4:27.6	T1CA: native... I usually ask my question to native speakers to say, oh, do you think there's a pun with these and what what what what can what sort of ideas that bring so with Whealing, wailing like kind of wailing.	
4:29.6 - 4:39.5	T1CA: Connotations... and that with Duncan. There's the pun in the text, I decided to leave Hitz, just as it is because	
4:40.2 - 4:49.5	T1CA: Yeah, my native speakers said well for me... Hitz is just like hits know how many dead people, no? three hits, three targeted things or it could be	
4:50.2 - 5:02.7	T1CA: Reminded also her of Hitler because of the gas chambers. So it's what was okay like this, but then with Duncan, then that the decision was to be made, whether to catalanize names.	
5:03.2 - 5:13.3	T1CA: I don't I didn't think it was a good idea because all the context was very English. And so I decided to use English names which had	
5:14.4 - 5:28.5	T1CA: Which if you read it with a Catalan mind you would read it in a different way. So that's why Whealing is called Affleck, which is an English surname, but for a Catalan comes to affliction so kind of relevant	
5:29.7 - 5:30.0	Interviewer: Yeah, I think that was good.	
5:30.2 - 5:33.0	T1CA: So, but, but, but I think that there there should be	
5:34.8 - 5:42.4	T1CA: A note at the beginning so that the people know that, oh, I have to read the English name, but with a Catalan mind.	
5:43.5 - 5:46.2	T1CA: And that's why Duncan becomes Pelham	
5:47.2 - 5:50.1	T1CA: Name, too. So to be able to make this work.	
5:51.8 - 5:54.6	T1CA: Yeah. Besides that, I. There were also some words.	
5:56.2 - 5:59.1	T1CA: At the end I don't remember exactly which ones I could look	
6:01.6 - 6:19.9	T1CA: that were very similar. So I had to look for, for a lot of synonyms. So to avoid repetitions and but then the synonyms, where I wasn't aware of fluid enough in the sense of literary or not I, I used "lugubre" and I use "devastadora" and	
6:21.3 - 6:32.5	T1CA: I don't know which ones. It was three or four words that were more or less the same. And I had to look for synonyms and say that. And what else specifically	
6:34.2 - 6:34.9	T1CA: I don't know.	
6:36.5 - 6:37.7	T1CA: More specific things	
6:38.4 - 6:40.1	Interviewer: And	
6:42.2 - 6:44.9	Interviewer: Where in the text.	
6:46.8 - 6:57.9	Interviewer: Maybe on the things that you have already mentioned. Okay. But where would you say that you had to be more creative in the text.	
7:02.2 - 7:15.4	T1CA: I think that is with the names. The, the extra names for the gas chambers with this Lucky Pierre. Yeah. And yeah, I don't remember there were Happy Hooligan, I think there was	
7:17.2 - 7:26.6	T1CA: All of those. Some of them. Yeah, with it, with the Lucky Pierre, I was giving it some thought doesn't found what you know what that it was related to	
7:27.7 - 7:30.0	Interviewer: There was also a song.	
7:31.4 - 7:38.8	T1CA: Yeah, but the song came from this ... Yeah, the song. The song that the that the medical assistant... Yeah.	
7:38.8 - 7:47.2	T1CA: Yeah, yeah. This is fun, especially. I didn't find it especially difficult, it was very like basic and I didn't find it...	
7:47.4 - 7:51.6	Interviewer: Did you try to use rhyme or did you	
7:53.1 - 7:55.6	T1CA: No, I think there was no rhyme in the original author, was there rhyme?	
7:55.7 - 7:57.2	Interviewer: Maybe a little bit of rythm.	
7:57.9 - 7:58.9	Interviewer: More than rhyme	
7:59.0 - 8:09.8	T1CA: Yeah, no, no. I read it aloud. And at first, my first draft was longer so it was more literal. And then I thought, well, that's too long. So to have kind of	
8:10.4 - 8:24.5	T1CA: Musical thing all the sentences should be the same length, more or less to shorten, especially the last one I think. But that's most, yeah, most of the times just making it a little bit symmetrical	
8:24.9 - 8:25.1	Interviewer: Like	
8:25.4 - 8:31.7	T1CA: Point that point of view and yeah I always read aloud all the translation. So two things sound good and I thought it sounded okay.	
8:33.7 - 8:40.6	Interviewer: So this is what I was going to ask you. What is your translation process, not only for this	
8:41.1 - 8:43.1	Interviewer: Translation, but you mentioned now.	
8:43.5 - 8:45.0	Interviewer: That you read them out loud.	
8:45.6 - 8:46.5	T1CA: Yeah, my	
8:47.8 - 8:58.6	T1CA: Yeah, my standard translation process is I usually export the texts which takes a lot of time because I usually get a PDF and since I work with MemoQ, I have to	
8:59.8 - 9:00.5	T1CA: Make an	
