0:01.8 - 0:02.6	Interviewer: Good morning.	
0:03.4 - 0:04.1	R2CA:: Good morning.	
0:05.8 - 0:14.0	Interviewer: So I wanted to ask you if you could give me your general views or reviewing this texts.	
0:14.7 - 0:25.5	R2CA: Okay, I, I think it was, it was tricky. It was really tricky to to review those texts. I'm more used to translate than to to really want to proofread.	
0:25.9 - 0:34.2	R2CA: And especially in Catalan, which is my mother tongue, but I'm more used to translate and review into what in Spanish. So I'm always	
0:34.7 - 0:44.0	R2CA: second guessing myself, especially in terms of Valencian Catalan and the different variants that we have, because sometimes I think, oh, maybe this sounds weird, because it's not	
0:45.6 - 0:58.0	R2CA: The Catalan that we speak and writing Valencia and maybe it's it's a common variant  word or or vocabulary in it the other way around. So that makes made me a second guess myself. A lot of times	
0:58.4 - 1:04.9	R2CA: The text was also difficult to translate I admired a task that the translators did because it was	
1:05.8 - 1:13.8	R2CA: Not an easy text to translate it was really tricky in in demanded a lot of imagination of creativity to solve other problems.	
1:14.5 - 1:27.5	R2CA: And so when I had to, to review. Sometimes it was like, well, they did a great job but but that it was still difficult. So sometimes it was like, I don't know if I should mark days some steak or or not.	
1:29.1 - 1:41.1	R2CA: The in terms of, well, we could split the difficulty between the three texts and the first one, I think it was more or less.	
1:43.8 - 1:44.9	R2CA: How could I say it.	
1:45.9 - 1:57.5	R2CA: was difficult to review it, but not as much as the second one, which I guess it was the one that was a absolutely translated by the machine. So it was not difficult, but	
1:59.2 - 2:11.4	R2CA: Um, it took me a lot of time to mark all the mistakes because there were so many mistakes that it was like one again and again and again and again. And the third one for me was the best translation.	
2:12.4 - 2:22.0	R2CA: And it also made it made my life a little bit difficult because sometimes is like, wow, this is really good. And when I have to classify the in the part of	
2:22.6 - 2:41.3	R2CA: Creative sheets and all of these, these part was difficult for the third one, because sometimes it's difficult to enclose they get to enclose the creative shifts or the errors in one category or or another. So maybe in the future if I'm more used to use these categories and	
2:42.7 - 2:58.2	R2CA: Yes the categories and labels, it will make the job easier, but for the first one for the first time, and it was it was a bit complicated. I hope it is. Okay. And I put the things in the right category. Otherwise, you tell me and and I corrected again.	
3:00.4 - 3:12.4	Interviewer: Sometimes, there isn't a right or wrong category as you know in in translation, you know, an error, sometimes can be classified differently and	
3:13.7 - 3:26.3	Interviewer: The creative shifts as well. So the interesting part for us is to see this variance as well. I think most of you that reviewers.	
3:28.1 - 3:43.2	Interviewer: Would agree, probably on the number of errors or the creative shifts, but maybe the classification is different, but I think this happens right	
3:45.2 - 3:45.9	Interviewer: And	
3:48.3 - 3:53.2	Interviewer: I would be interested in knowing	
3:54.6 - 4:01.1	Interviewer: Which were in your opinion, the main difficulties of the text.	
4:01.9 - 4:05.4	Interviewer: Okay, because you did mention that it was very difficult.	
4:07.1 - 4:20.1	R2CA: On the one hand, I think the world of neologisms or was that demanded at total adaptation or a very different world in span, such as a title, for instance, yet to get the reference and to about that.	
4:20.7 - 4:32.7	R2CA: Then the telephone number. The name of the termination center and the cat box and all of these all of these terms that demanded to be to be creative and	
4:33.9 - 4:36.9	R2CA: The orality as well, which I think is always	
4:38.2 - 4:49.7	R2CA: Well, it depends on the translator for me. I love translating orality. So why, because I do audio visual translation as well. So for me, it's not normally a huge a problem but	
4:50.7 - 4:57.0	R2CA: I think that in this text. If you are not used to translate orality you could face some problems there until give these	
4:57.7 - 5:05.8	R2CA: Especially to mark different registers to mark different and temporal varieties. Now when when they use like more	
5:06.8 - 5:20.4	R2CA: Old Fashioned words are not like all good gravy and all of these all of these terms, you have to have this special sensibility for for for orality. So that could be another difficult point and in terms of style.	
5:23.0 - 5:41.0	R2CA: I think that in terms of style. It was a bit tricky sometimes to go beyond the English racing and to get this natural or these distinctive style that I that I found on the on the original on the original text, which I think is quite peculiar is not	
5:42.2 - 5:53.6	R2CA: A very traditional style with subject, verb, object point next sentence. It has some variants on terms of style. So that was also a difficult point. I think	
5:55.7 - 6:00.7	Interviewer: Em. You also mentioned that and	
6:02.7 - 6:24.3	Interviewer: That translators have to be creative. You said they have to use their imagination and be creative in this text and could you tell me where do you think they have to be more creative and what is creativity for you.	
6:24.7 - 6:26.4	Interviewer: Have a translation.	
6:26.7 - 6:28.0	R2CA: Okay, that's a difficult one.	
6:29.1 - 6:35.8	R2CA: Well, they had to be creative with the with the puns and the second of this is	
6:36.9 - 6:42.4	R2CA: The names that had double meanings and other prominent Leora Duncan that then we had this word play	
6:42.8 - 6:54.7	R2CA: Within the text and with the names that were given to the termination center with a title with the word game as well with a with a telephone number that demanded creativity, all these	
6:55.1 - 7:12.1	R2CA: Little puns inside inside the texts. Otherwise, that didn't work or not, as well as in the original which is very not I wouldn't say funny, but it has this double layer of of meaning looming over over the text then	
7:13.4 - 7:15.8	R2CA: Once seconds. I'll connect the battery.	
7:17.8 - 7:23.1	R2CA: That was a very important aspect or another, where they have to be creative and	
7:23.6 - 7:39.9	R2CA: As well. In orality, in orality, I think that's creativity is fundamental, because otherwise you get stuck to the English phrasing. And it doesn't sound natural. It doesn't sound real know it sounds like a translation and they have to be creative. Maybe in descriptions and	
7:41.4 - 7:44.7	R2CA: Depending on what you're describing, but there may be one second.	
7:51.0 - 7:58.6	R2CA: inspirations that been depending on the object or the landscape that you're describing, sometimes you don't need to be that creative because	
7:58.9 - 8:06.5	R2CA: The author has been creative for you has already used the the objectives that you need to use and you just will reproduce a bit	
8:06.8 - 8:17.4	R2CA: The, the image that the author is creating or has already created on the original text, but in orality you always need to give that input yourself because the author is not going to give you these	
8:18.1 - 8:27.5	R2CA: Well, no, this little sentences and natural phrasing that you will find in in Spanish and other points where you had to be creative.	
8:28.1 - 8:40.5	R2CA: And maybe not for the actual translation, but to imagine the world he is depicting because well is is realistic but he also has some dystopian or some imagined	
8:41.0 - 8:46.9	R2CA: Aspects now when he speaks about this and the mural that the painter is is painting or you have to	
8:47.6 - 8:52.8	R2CA: Imagine a little bit the wall, the object or or the picture that he's	
8:53.2 - 9:02.1	R2CA: He's describing because you don't have an actual reference I will maybe the hospital or the hospital room. You can imagine that, and you don't need to be creative, to create that image in your head.	
9:02.6 - 9:16.8	R2CA: And but in the ward, for instance, I think you have to be creative or imaginative in your mind to to see the image and to be able to to translate it, and what does it mean for me to be creative. That's a tricky one.	
9:17.1 - 9:18.8	R2CA: In a translation.	
9:19.1 - 9:21.4	R2CA: In translation. Hmm.	
9:22.4 - 9:31.6	R2CA: I think what maybe, maybe I'll rephrase it a couple of times. What I'll try. And I think that to be creative in translation is to	
9:32.2 - 9:52.4	R2CA: grasp the meaning of the original, grasp the style and the tone and and create something new in your own language, taking upon that. I mean not reproducing the phrasing of the original not reproducing the syntax, if not needed not reproducing the metaphors, if not needed, and	
9:53.7 - 9:56.7	R2CA: Yes, more or less. It's good to be phrased these ways of like	
9:57.3 - 10:04.1	R2CA: Finding your own language, different ways to express what was expressed in the original language because if you express it.	
10:04.4 - 10:11.9	R2CA: With the same syntax for words. Then in the original one, it won't have the same effect on your on your language because maybe	
10:12.3 - 10:22.8	R2CA: Is stylistically wrong or it sounds like a translation or it doesn't have these stylistic novelty that the original has that sometimes in translation. I think that we tend to	
10:24.8 - 10:35.0	R2CA: "Plantar" or iron out the other the text that maybe you find in the original one, a very novel or similar style and you	
10:35.7 - 10:51.8	R2CA: enclose it on a very smooth the style with no alterations on the normal order and they have to be creative, as well, because you have to create like a stranger style on your own language as well, we're not we're producing the original one.	
10:53.2 - 10:54.8	R2CA: I don't know if I answered the question.	
10:54.8 - 10:55.3	Yes.	
10:56.8 - 11:09.6	Interviewer: You did, and obviously every mean there isn't a right answer is what when you think. And you also mentioned and	
11:11.4 - 11:25.8	Interviewer: The differences in the text. Okay. You say that you you thought A was okayish B you mentioned sounded like a machine.	
11:26.9 - 11:33.1	Interviewer: And C, and it was maybe more polished. Could you tell me	
11:34.2 - 11:36.1	Interviewer: Which one did you prefer.	
