0:09.8 - 0:11.4	Interviewer: I you want to answer that, I	
0:12.6 - 0:13.1	T4NL: No,	
0:15.3 - 0:16.2	And	
0:19.4 - 0:22.9	Interviewer: Okay, so the first question I wanted	
0:22.9 - 0:24.2	To ask you	
0:25.2 - 0:25.5	Interviewer: Was	
0:33.9 - 0:35.6	T4NL: Just disconnecting my phone.	
0:36.4 - 0:37.4	Interviewer: Recording	
0:38.6 - 0:47.9	Interviewer: Okay, so the first question I wanted to ask you this. If you could give me your general views on translating this text.	
0:50.8 - 0:57.1	T4NL: You mean as a regular translator or using the pre-translated text.	
0:58.4 - 1:04.1	Interviewer: Overall as a translator, what did you think of translating this text.	
1:04.3 - 1:11.0	T4NL: Well, first of all, I like the text it because it's it's it's a literary text and	
1:12.2 - 1:18.8	T4NL: A bit challenging as you said before, and I like translating it and	
1:20.0 - 1:31.2	T4NL: You know, for myself from the start. And then it was interesting, also to to to post edit the pre-translated machine version of it.	
1:32.2 - 1:39.1	Interviewer: Okay, so what were the main difficulties or challenges of this text.	
1:40.1 - 1:40.9	Interviewer: For you.	
1:42.7 - 1:47.9	T4NL: Well in generally, generally speaking, of course, other words those typical things	
1:49.1 - 1:55.5	T4NL: What we call "realia" in Dutch that you have to, for example, those	
1:57.1 - 2:10.9	T4NL: Nicknames to the to the to the gas chambers, etc. Like this. You have to find creative things that was difficult. The song, for example, was also difficult to translate	
2:12.2 - 2:32.5	T4NL: Some idioms idiomatic expressions. You have to find goods equivalence in Dutch for it's difficult, but those are for me as a book translator are you know not uncommon to have that kind of issues in a text so I could also say, and	
2:33.6 - 2:37.3	T4NL: Nothing extraordinary for me. I'm used to this kind of issues.	
2:38.4 - 2:39.2	Interviewer: Okay.	
2:39.4 - 2:50.4	T4NL: And the thing about translating or post-editing the other translation was it's quite a different issue because it's like you have to reason.	
2:51.6 - 3:07.7	T4NL: Upside down, you know, you have to correct the wrong text, which is not which is by far, which is something completely different and making your translation from the start. This is a different competence I would say	
3:08.9 - 3:10.6	T4NL: quite tricky. I would say	
3:12.1 - 3:13.9	T4NL: Because I don't think there was	
3:15.2 - 3:19.6	T4NL: There has not been one single unit on any of this idea in total 120	
3:19.7 - 3:23.7	T4NL: To 30 234. So how many units.	
3:24.4 - 3:27.2	Interviewer: There are 234 segments.	
3:27.2 - 3:31.0	T4NL: Yeah, okay. Yeah, but I don't think in the in the pre-translated one	
3:31.1 - 3:32.3	T4NL: Half of it.	
3:33.8 - 3:47.6	T4NL: I don't think there was one single unit that that could pass by itself. Everything, everything has to be edited, which is an editing wrong texts or wrong translation and correcting us is	
3:49.1 - 3:53.8	T4NL: Is even harder, I think, than doing it yourself from the start.	
3:56.9 - 4:01.0	Interviewer: So, in your opinion.	
4:02.5 - 4:08.0	Interviewer: And what do you think of this machine translation proposal.	
4:11.2 - 4:12.4	T4NL: Oh, I would if I would	
4:13.9 - 4:18.3	T4NL: Evaluate it as a translation, I would give it a very low point.	
4:19.9 - 4:36.2	T4NL: It's a very bad translation. There was some huge huge errors and mistakes and missunderstood something that the meaning was complete some some sentences are completely nonsense. That's a terrible, terrible kind of text.	
4:36.9 - 4:44.5	Interviewer: So in your opinion, how much do you think you use of these MT proposal.	
4:45.4 - 4:51.2	T4NL: Yeah, I would say. Sometimes I was surprised that there were some good things too.	
4:52.5 - 4:53.9	T4NL: So, which I could use which	
4:54.4 - 5:00.8	T4NL: Is which were helpful. And let me say I don't want me to go into the text now right now.	
5:01.4 - 5:01.7	Well,	
5:03.2 - 5:03.6	Interviewer: You want	
5:03.6 - 5:10.4	T4NL: To expressions that were well that were well translated. I mean, it was not hundred percent for that advice, maybe	
5:11.8 - 5:15.0	T4NL: I don't know 50% percent wrong	
5:16.6 - 5:17.5	Interviewer: So,	
5:17.6 - 5:26.7	T4NL: The right PARTS. PARTS OF phrase, some parts of some phrases were were okay so I didn't have to work on them. I just have to check them.	
5:28.4 - 5:32.3	T4NL: But that they could, they could stand. Let's put it like that.	
5:34.3 - 5:35.4	Interviewer: And	
5:36.5 - 5:46.3	Interviewer: So if I understand correctly, there were some proposals that were helpful and then other proposals that were difficult	
5:46.6 - 5:48.4	T4NL: Or completely wrong. Yes.	
5:48.5 - 5:55.7	Interviewer: Okay. Oh completely wrong. So did you notice any pattern in those and	
5:57.3 - 5:58.4	T4NL: Well, for instance.	
5:59.4 - 6:02.7	T4NL: The machine doesn't catch idiomatic.	
6:04.0 - 6:10.9	T4NL: Parts of texts, you know, that doesn't give you a ride idiomatic equivalent in Dutch for this.	
6:11.2 - 6:14.0	T4NL: It is much too literary much too.	
6:15.2 - 6:15.9	T4NL: Simple	
6:16.4 - 6:20.4	T4NL: Mm hmm. So there lacks subtlety, I would say.	
6:21.8 - 6:29.0	T4NL: And then also, it doesn't get it doesn't. It goes from word to word or and then sometimes it's not bad.	
6:29.7 - 6:48.2	T4NL: But then there is no no relation between sentences. So it's only on a sentence level that something is down. But if the next sentence is translated and it's completely inconsistent with the previous one it's just there. And you have to change everything is terrible.	
6:48.6 - 6:49.4	Mm hmm.	
6:51.5 - 7:02.1	Interviewer: So going back to the difficulties in the source text in the English you mentioned, for example, the nicknames of the gas chambers.	
7:03.2 - 7:11.6	Interviewer: Could you tell me specifically which passages, you found more difficult in the source text.	
7:13.5 - 7:20.6	Interviewer: The ones that you had to maybe spend think more about them or spend more time on them.	
7:20.9 - 7:22.7	T4NL: For all those names like	
7:24.3 - 7:27.8	T4NL: I don't have the source text in English in front of me but	
7:29.1 - 7:37.7	T4NL: I you know I checked them and there were references could be references to songs or something, you know, you can check, most of them.	
7:40.0 - 7:41.2	T4NL: And then	
7:42.5 - 7:54.2	T4NL: You know, you could think of something, you know, I have to give credit to this kind of historical, cultural reference that then it doesn't	
7:54.9 - 8:07.8	T4NL: You could find something. But then I thought, it doesn't work in the text, you know, can find some an equivalent in Dutch for this, but it's has to be, then you have to change it again to make it useful in the trends in the texts.	
8:09.0 - 8:12.5	T4NL: To make to simplify before, for example, Easy Go.	
8:13.2 - 8:18.0	T4NL: Yeah, if you remember that one. It's, you know, the expression is easy come, easy go	
8:18.1 - 8:18.8	Interviewer: And there. Yeah.	
8:19.4 - 8:27.2	T4NL: And there's a Dutch translation for this is called so "zo gewonnen zo geronen" which is the proper translation of easy come, easy go	
8:27.7 - 8:41.5	T4NL: That if I would call the gas chambers chambers "Zo geronen" it doesn't make sense to say. You see, I could not use Easy Go in the proper idiomatic translation. So I had to find something else. And the same one.	
8:43.6 - 8:47.4	T4NL: I think I used "Uitje" for this because it's like a double double	
8:49.0 - 8:49.9	T4NL: double meaning.	
8:52.2 - 8:59.0	T4NL: Like could be like an excursion or going out or something you know this word in Dutch. But anyway, that's what I	
8:59.0 - 9:02.1	Interviewer: "Uitje" yeaah i know...	
9:03.8 - 9:12.3	T4NL: This is what I decided to use. This was, you know, you have to make several steps before you come to this kind of thing. So that was, that was a challenge to do	
9:14.5 - 9:30.3	Interviewer: So where would you say that you had to be more creative in the translation and can you define creativity in translation, in your opinion, obviously.	
9:31.6 - 9:34.2	Interviewer: So, where, where do you think you have to be more	
9:34.2 - 9:36.6	Interviewer: Creative in this particular translation.	
9:37.1 - 9:42.2	Interviewer: And how would you define creativity in translation in general.	
9:43.6 - 9:49.0	T4NL: Well, I would say, as I said before that these typical kind of things that you have to	
9:51.3 - 9:55.6	T4NL: Transform make a couple of steps before you come to the right.	
9:57.7 - 10:18.2	T4NL: In my view, right, kind of translation, my, my goal is to make the text fluent and unnatural in Dutch, of course, that's my main goal. And so that's why you have to, you cannot stick with just a literal translation, but you have to make all these steps to to find the right	
10:19.6 - 10:26.6	T4NL: nice sounding natural fluent equivalent in Dutch, and that's that's a creative process by itself. Maybe the steps.	
10:28.3 - 10:34.9	Interviewer: So, apart from the nicknames, where you more creative in this text.	
10:35.6 - 10:45.8	T4NL: Well, as I mentioned, the song. For example, you have to, you have to make it like a rhyme here and there, and it has to be	
10:46.7 - 10:55.8	T4NL: Not short or not. Not much longer, and not much shorter, you have to respect it, of course, that it has to be light as well.	
10:56.6 - 11:09.8	T4NL: So that's, those are typical issues for professional translators, which are or humour when there's when you speak of humour. You also have to be more creative, you know, something suitable	
11:12.0 - 11:12.7	Interviewer: What about the names	
11:13.0 - 11:14.5	T4NL: One more specific example.	
11:14.6 - 11:16.2	Interviewer: Yeah. What about the names for	
11:16.2 - 11:18.1	Interviewer: Example of the characters.	
11:18.6 - 11:19.4	Interviewer: Was that	
11:20.5 - 11:31.4	Interviewer: When the when there was a play on words between Leonora Duncan and to dunk people, mmm, how did you find those play on words with the names	
11:34.1 - 11:41.7	T4NL: Yeah. Well, normally I don't touch names, just, you know, you just keep them because they are, you know, there they are the names cannot do anything with it.	
11:42.2 - 11:53.1	T4NL: And if there is a little game or a little joke about dumping dumping dumping people or dunking people that something you, you cannot	
11:54.2 - 11:56.8	T4NL: Then it's unfortunate that you cannot	
11:58.4 - 12:03.0	T4NL: Follow that. And then you try to compensate it somewhere else. That's what we do.	
12:03.8 - 12:13.5	Interviewer: So how did you solve this problem. When the Painter says, oh so you dunk people from Duncan dunk, did you...	
12:14.1 - 12:23.6	T4NL: Well because you know I translated the are used to work,"dompelaar", "dompelaar", I don't know... I don't remember.	
12:23.9 - 12:25.1	Interviewer: Yeah, you used that word.	
12:25.7 - 12:27.1	T4NL: Yeah, so it's	
12:28.2 - 12:38.0	T4NL: I couldn't really find it just starts with a D that you cannot really follow the word completely or. That's true. That is too English is sometimes you cannot	
12:39.4 - 12:41.1	T4NL: Do much in this	
12:43.4 - 12:44.1	Interviewer: Okay.	
12:44.2 - 12:48.5	T4NL: Which is a little bit just kind of a little failure because you cannot, you cannot	
12:49.5 - 12:59.0	T4NL: Honour the pun intended. But still, you know, I tried to find somewhere else, something that's	
13:00.6 - 13:11.4	T4NL: As a little pun in the text as well. I think I manage on other places to make it a little bit more funny than the original or something like that, you understand	
13:11.8 - 13:14.0	Interviewer: Yes, compensation. So when	
13:14.3 - 13:16.4	Interviewer: You couldn't be ironic in one part	
13:16.5 - 13:18.7	Interviewer: You compensated on another part	
13:18.9 - 13:22.2	Interviewer: Was there a particular part with this name.	
13:22.3 - 13:24.1	Interviewer: Or was	
13:24.4 - 13:26.3	T4NL: It a general compensation.	
13:26.5 - 13:30.4	T4NL: No, not with this particular name. I don't think this particularly	
13:39.7 - 13:44.0	T4NL: Have to check if I produce, I don't know, just in general.	
13:45.4 - 13:48.2	Interviewer: And what is creativity for you.	
13:49.4 - 13:51.2	Interviewer: in translation.	
13:52.5 - 13:57.5	Interviewer: How do you, how would you define creativity in translation.	
13:59.2 - 14:04.8	Interviewer: There isn't a right or wrong. I just want to know your your own thoughts on this.	
14:15.1 - 14:21.9	T4NL: Well, you have to trace your vocabulary and try to	
14:26.0 - 14:30.2	T4NL: Just in order to make the text as natural Dutch as possible.	
14:32.2 - 14:37.9	T4NL: Is that I think that's an if you manage to do that. I think that's that's that's created	
14:40.0 - 14:40.2	Interviewer: But	
14:43.1 - 14:44.0	Interviewer: Are all the sentences.	
14:44.6 - 14:47.8	Interviewer: Do you require creativity in all the sentences.	
14:48.9 - 14:50.2	T4NL: In all the sentences.	
14:51.5 - 14:51.8	Interviewer: Yeah.	
14:56.1 - 15:03.4	T4NL: I think so, yes. I every unit needs. That's why you know I had to revise every single unit of the pre-translation.	
15:05.2 - 15:06.0	T4NL: To	
15:07.0 - 15:12.1	T4NL: To to improve it and if you include something in the language to make it better.	
15:14.5 - 15:16.4	T4NL: That's, that's a creative act, I think.	
15:17.6 - 15:28.0	Interviewer: Okay. And do you think that you were mentioning that you had to review all the MT proposals so	
15:29.4 - 15:42.2	Interviewer: In the final product that you produce what do you think the impact of this machine translation was on your creativity because you already had a proposal, right.	
15:43.0 - 15:45.1	Interviewer: As opposed to the other segments.	
15:45.3 - 15:47.3	Interviewer: Where you didn't have a proposal.	
15:47.7 - 15:52.6	Interviewer: What do you think the impact of this MT on your creativity.	
15:56.1 - 15:56.8	T4NL: It was	
15:58.0 - 16:05.3	T4NL: Quite, quite big. The impact has quite the, you know, yeah, you have to be more creative correcting something nicely.	
16:07.3 - 16:13.7	T4NL: It's a bigger effort cognitively and technically and creatively to to improve	
16:15.0 - 16:18.6	T4NL: The text to say failures, than to start from	
16:19.8 - 16:20.6	T4NL: Fresh from the start	
16:21.8 - 16:25.9	Interviewer: And do you think the final product and	
