0:02.6 - 0:04.9	Interviewer: So we are recording now Hello.	
0:08.6 - 0:17.8	Interviewer: So I wanted to ask you if you could give me your your general views on reviewing these three texts.	
0:20.4 - 0:20.6	Interviewer: How	
0:20.7 - 0:23.8	Interviewer: Did you find doing a task.	
0:25.8 - 0:34.7	R3CA: Which which of the parts, the first one just just editing just like proofing or filling the Excels, because that's a completely different thing.	
0:39.1 - 0:40.4	Everything everything.	
0:41.5 - 0:48.5	R3CA: Everything, no, I mean it was really interesting and I have to, I have to admit that, at the beginning, I was a bit of afraid.	
0:49.6 - 1:05.4	R3CA: Just because I had seen all the the the amount of things that I had to do, and all the all the rows in the Excel files and everything and it was a bit like overwhelming, and when we spoke, the first time, and then you said why you're going to hate me and everything and.	
1:05.4 - 1:05.7	R3CA: It was.	
1:06.6 - 1:16.6	R3CA: I didn't know what i've you know what i've signed into I didn't know that it was this amount of work, but it was really enjoyable and it was long.	
1:17.3 - 1:28.4	R3CA: But it was it was really nice also I could see that that the task was different when I was faced with a very good text which, in my case I don't know we can talk about this.	
1:29.5 - 1:30.2	Interviewer: Yeh, sure, sure.	
1:30.4 - 1:45.2	R3CA: Text C was a very good text so so it was a real pleasure to review something which was so good, because well obviously also it has the little drawback that or setback that when something is so good.	
1:46.5 - 1:53.5	R3CA: Maybe then there is something that you don't really see because you know your idea is that a text is so good somebody there's something that you don't you know.	
1:54.7 - 2:03.0	R3CA: You have to read twice or something, but it was much better than, for example, reviewing text B I think yeah.	
2:03.3 - 2:10.7	R3CA: which was like full of things and some some of the words were crazy, I mean I remember, there was these sniper.	
2:11.1 - 2:29.9	R3CA: That in the translation was like if it was a sniper so it was a complete different thing right and and then you have to keep like taking things out and rewriting and then you knew that you had to translate all these work into the excel file and then it was cumbersome but.	
2:31.0 - 2:42.0	R3CA: But with A and especially C was was real good overall, it was nice it was nice because it's it's a way of seeing other you know how people think and.	
2:43.2 - 2:50.4	R3CA: And the mistakes of Maybe you can you can make, and everything, so it was good at the big getting us, as I say, it was like.	
2:50.8 - 3:01.9	R3CA: Oh, my God that's a lot of a lot of things that I have to do, but, but in the end it was Okay, and it was not as bad as I thought it would be when I was going to start.	
3:02.8 - 3:15.8	R3CA: It also helped to read like you said, I mean just first work on the on the words and then, once you have this task done, then you do it in the excel file, I still had to go back and forth.	
3:16.3 - 3:22.1	R3CA: Because I saw different things, and then I was feeling, something I said well yeah, but I think there was another mistake and so.	
3:23.4 - 3:32.8	R3CA: Sometimes it was like a kind of a yo yo or or table tennis kind of thing but, but it was nice on the whole, it was it was good.	
3:33.8 - 3:37.4	Interviewer: Did you review ABC in that order.	
