0:10.4 - 0:22.2	Interviewer: Could you give me your general views on reviewing these three texts.	
0:23.8 - 0:27.2	Interviewer: What were the main difficulties, etc.	
0:29.5 - 0:29.9	R5NL: Okay, it is a big question.	
0:35.7 - 0:47.1	R5NL: Okay first thing I was trying to do was try to find out which one of the texts was machine translation and which one which ones are translated by real translators, that was not very hard.	
0:50.9 - 0:51.4	R5NL: and	
0:52.6 - 0:55.2	R5NL: they're all very difficult... different to review.	
0:58.2 - 1:07.5	R5NL: The third text it's really hard to say because I just looked at the text and try to find out what type of text, it was, and then I.	
1:08.9 - 1:09.8	R5NL: I.	
1:11.0 - 1:18.3	R5NL: chose a chat strategy based on that, so the third text was probably a published translation or close to it.	
1:19.6 - 1:26.8	R5NL: With only minor details that I thought could have used some tweaking the first text seem to me like.	
1:28.6 - 1:36.8	R5NL: done by a translator who was professional translator but not a real literary translator so he made quite a few.	
1:37.5 - 1:52.7	R5NL: Well, mistakes that would not have counted as mistakes, perhaps in a technical translation, but there are definitely mistakes in literary translation, so I concentrated on those and then did lots of but I left the details for what they were.	
1:53.8 - 2:01.7	R5NL: And then the second text was obviously machine translation lots of work, but I did a lot of work based on the corrections in the first text.	
2:03.0 - 2:04.7	R5NL: Does that answer your question?	
2:05.3 - 2:11.7	Interviewer: yeah yeah you do did mention in the questionnaire that the machine that you thought.	
2:12.8 - 2:19.6	Interviewer: Without a doubt that the second text, so text B, was machine translated.	
2:20.0 - 2:22.6	Interviewer: But you did mention.	
2:23.5 - 2:27.7	Interviewer: It wasn't as bad as I thought or something along those lines yeah.	
2:28.1 - 2:28.4	R5NL: yeah.	
2:30.1 - 2:30.4	R5NL: Yes.	
2:31.9 - 2:34.8	Interviewer: So were you surprised by this.	
2:35.6 - 2:37.8	R5NL: No, it was more like oh they've come a long way.	
2:39.9 - 2:42.4	R5NL: i've tried to use every now and then I try to use.	
2:43.7 - 2:52.8	R5NL: Well okay every now and then a few times i've tried to use a machine machine translation as a basis for my own translation, but in fact this takes up so much work.	
2:53.7 - 3:02.3	R5NL: To do use this as a base that it's just it's faster if I do it myself actually because all of the work does not go into that first passage.	
3:03.2 - 3:13.4	R5NL: But into the thinking of creative solutions and working working on the text, so it never really but I don't know, maybe i'm going to.	
3:13.9 - 3:26.1	R5NL: Try and see that it's it's better I do know that if you have Google translate look for single words always very, very bad translation always but entire text is better.	
3:26.8 - 3:33.4	Interviewer: Okay, and do you do you use Google translate or DeepL or which engine have you tried?	
3:33.4 - 3:38.8	R5NL: No, Google Translate would have been the one because it's easily available.	
3:39.2 - 3:47.7	R5NL: Okay i've tried it I think two times, or three times, just to take a look kind of never saved me any time I had so I just yeah.	
3:48.5 - 3:49.7	Interviewer: So am.	
3:52.3 - 3:58.7	Interviewer: from them translation point of view so so the source text as such.	
4:00.5 - 4:09.7	Interviewer: Could you tell me which passages you found were more difficult for the translators?	
4:10.3 - 4:19.3	R5NL: Yes, the song, obviously, and the intranslatable words such as drupelets and.	
4:22.9 - 4:24.3	R5NL: Yes, and also.	
4:25.4 - 4:30.6	R5NL: thematic things I feel like none of the texts, except from the last one.	
4:32.4 - 4:44.0	R5NL: Had the last one, at least, tried to put some of the military themes into them into his translation by using the word "Boeray" rather than what she had on her head.	
4:46.6 - 4:48.2	R5NL: it's also an ordinary.	
4:49.4 - 4:58.9	R5NL: For them, the nurse is called an ordinary and that's also a military thing, so a lot of actually the whole atmosphere reminded me of Blade Runner.	
5:00.3 - 5:11.1	R5NL: So, also with the clothes, so that this military thing I think was supposed to be in there, and none of the first the first two translations have picked up with that up.	
5:14.6 - 5:21.5	R5NL: yeah that's that was and also another thing that I noticed in the first translations was that in.	
5:23.0 - 5:39.2	R5NL: connections between sentences and, like the more the things that are literally translator will do will try to make the text into unity and have the person's react to each other, and that was sometimes missing, especially in the second text, of course, by the first one as well, sometimes.	
5:39.9 - 5:41.4	Interviewer: And not in third one.	
5:41.8 - 5:45.2	R5NL: The third node third one, was very well thought out in that.	
5:51.5 - 6:04.2	R5NL: Lots of very natural natural dialogue people actual people actually with a personality that was consistent throughout the text actually relating to each other in a in a way that you would that was.	
6:05.6 - 6:07.6	R5NL: In sync with the theme, also with.	
6:09.5 - 6:11.0	R5NL: The doctor who is.	
6:12.4 - 6:16.7	R5NL: not supposed to be for progress and the the painter, who is a bit.	
6:18.7 - 6:22.0	R5NL: old fashioned, you could say, maybe dissidents.	
6:26.2 - 6:27.2	R5NL: So psychologically.	
6:28.2 - 6:47.1	Interviewer: This passages em or, rather, which passages, do you think that translators had to be more creative I don't know if it's the same you just mentioned, or more, and what is creativity in translation for you.	
6:48.7 - 6:49.0	R5NL: Okay.	
6:50.3 - 6:59.2	R5NL: The song, the drupelets, solving problems their creativity is solving problems actually everything that's needed creativity is.	
7:00.1 - 7:13.4	R5NL: lateral thinking, associative thinking in order to to to just fill the gap because there's a gap there's something that you can't translate immediately it doesn't translate itself.	
7:14.4 - 7:18.0	R5NL: Then you have a translation problem, what is needed is creativity and.	
