0:02.5 - 0:06.2	Interviewer: So good morning good good good good afternoon.	
0:06.6 - 0:07.4	R4NL: Good afternoon.	
0:09.7 - 0:26.4	Interviewer: And so I wanted to, if you could give me your general view on reviewing these three texts. What was your in general your impression... how was the task? a little bit your general...	
0:27.1 - 0:39.8	R4NL: Well, in general, I thought it was an interesting subject to start with, I was very curious myself see how especially how good the machine translation would be. I was very interested in reading that.	
0:41.5 - 0:48.3	R4NL: I like, especially the first part, where we had to do the like just the Word correction in Word like you would normally correct.	
0:50.2 - 0:59.4	R4NL: So I really liked that part as well, and then the second part, well, we had to fit in like all the Excel sheets, I was challenging I would say.	
1:01.4 - 1:04.2	R4NL: It because it because it was a lot of work and.	
1:05.8 - 1:09.9	R4NL: Sometimes I found it quite difficult like to you had to select categories.	
1:10.8 - 1:25.7	R4NL: For for certain types of errors and things like that sometimes I found it quite difficult to select the right category and things like that, so that took quite a lot of time and especially with the machine translation, where there were a lot of errors.	
1:26.8 - 1:33.8	R4NL: That was very time consuming so oh yeah that was like I think my general.	
1:35.7 - 1:37.1	R4NL: idea here sure yeah.	
1:38.6 - 1:50.5	Interviewer: And what did you think of all, what do you think what were the main difficulties...	
1:52.5 - 2:04.3	Interviewer: Apart from categorizing the errors what were the main difficulties in the text, what passages do you think were more difficult to translate and to review.	
2:05.1 - 2:11.8	R4NL: I think the ones were more creative, which required like the the part where there was the words it's like a poem or.	
2:12.2 - 2:12.8	Interviewer: The song.	
2:12.8 - 2:16.2	R4NL: song the song like requires a lot more creativity.	
2:17.3 - 2:34.0	R4NL: So those those types of, of course, like the word play with the title alone like to be or not to be... those were difficult well I don't know if they were difficult for me to correct I think they were quite difficult, probably for the translators, for the human translator.	
2:35.7 - 2:37.3	R4NL: For me, to correct.	
2:39.7 - 2:46.4	R4NL: Well yeah it was quite obvious like with the machine translation that was just wrong, so it was quite easy to correct.	
2:47.0 - 2:54.9	R4NL: In that sense, but I think that's for for the text itself, I think those were the most challenging passages pretty much...	
2:56.4 - 3:00.0	Interviewer: So you did mention creativity and.	
3:00.1 - 3:03.2	Interviewer: and where the translators had to be creative.	
3:04.2 - 3:11.5	Interviewer: So, apart from this song and the title and are there any other.	
3:12.7 - 3:27.2	Interviewer: categories or or or or things in the text that you found that translators, had be creating and as some addendum to this question what is creativity for you in translation?	
3:28.4 - 3:29.0	Interviewer: Something easy.	
3:29.6 - 3:37.6	R4NL: yeah well I think other other parts where like the the names for the for the Bureau for termination.	
